"sentence_id","sentence","entities"
"1",""" What an extraordinary place ! "" cried Lucy . "" All those stone animals -- and people too !","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
"2","It 's -- it 's like a museum . "" "" Hush , "" said Susan , "" Aslan 's doing something . "" He was indeed .","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Aslan"", ""canonical"": ""Aslan"", ""label"": ""MENTIONED_ONLY""}]"
"3","He had bounded up to the stone lion and breathed on him .","[{""text"": ""he"", ""canonical"": ""Aslan"", ""label"": ""ACTIVE_PERFORMER""}]"
"4","Then without waiting a moment he whisked round -- almost as if he had been a cat chasing its tail -- and breathed also on the stone dwarf , which ( as you remember ) was standing a few feet from the lion with his back to it .","[{""text"": ""he"", ""canonical"": ""Aslan"", ""label"": ""ACTIVE_PERFORMER""}]"
"5","Then he pounced on a tall stone Dryad which stood beyond the dwarf , turned rapidly aside to deal with a stone rabbit on his right , and rushed on to two centaurs .","[{""text"": ""he"", ""canonical"": ""Aslan"", ""label"": ""ACTIVE_PERFORMER""}]"
"6","But at that moment Lucy said , "" Oh , Susan !","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ADDRESSED""}]"
"7","Look !","[]"
"8","Look at the lion . "" I expect you 've seen someone put a lighted match to a bit of newspaper which is propped up in a grate against an unlit fire .","[]"
"9","And for a second nothing seems to have happened ; and then you notice a tiny streak of flame creeping along the edge of the newspaper .","[]"
"10","It was like that now .","[]"
"11","For a second after Aslan had breathed upon him the stone lion looked just the same .","[{""text"": ""Aslan"", ""canonical"": ""Aslan"", ""label"": ""ACTIVE_PERFORMER""}]"
"12","Then a tiny streak of gold began to run along his white marble back -- then it spread -- then the colour seemed to lick all over him as the flame licks all over a bit of paper -- then , while his hind-quarters were still obviously stone the lion shook his mane and all the heavy , stony folds rippled into living hair .","[]"
"13","Then he opened a great red mouth , warm and living , and gave a prodigious yawn .","[]"
"14","And now his hind legs had come to life .","[]"
"15","He lifted one of them and scratched himself .","[]"
"16","Then , having caught sight of Aslan , he went bounding after him and frisking round him whimpering with delight and jumping up to lick his face .","[{""text"": ""Aslan"", ""canonical"": ""Aslan"", ""label"": ""MENTIONED_ONLY""}]"
"17","Of course the children 's eyes turned to follow the lion ; but the sight they saw was so wonderful that they soon forgot about _him_ .","[]"
"18","Everywhere the statues were coming to life .","[]"
"19","The courtyard looked no longer like a museum ; it looked more like a zoo .","[]"
"20","Creatures were running after Aslan and dancing round him till he was almost hidden in the crowd .","[{""text"": ""Aslan"", ""canonical"": ""Aslan"", ""label"": ""MENTIONED_ONLY""}]"
"21","Instead of all that deadly white the courtyard was now a blaze of colours ; glossy chestnut sides of centaurs , indigo horns of unicorns , dazzling plumage of birds , reddy - brown of foxes , dogs , and satyrs , yellow stockings and crimson hoods of dwarfs ; and the birch - girls in silver , and the beech - girls in fresh , transparent green , and the larch - girls in green so bright that it was almost yellow .","[]"
"22","And instead of the deadly silence the whole place rang with the sound of happy roarings , brayings , yelpings , barkings , squealings , cooings , neighings , stampings , shouts , hurrahs , songs and laughter . "" Ooh ! "" said Susan in a different tone . "" Look !","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
"23","I wonder -- I mean , is it safe ? "" Lucy looked and saw that Aslan had just breathed on the feet of the stone giant . "" It 's all right ! "" shouted Aslan joyously . "" Once the feet are put right , all the rest of him will follow . "" "" That was n't exactly what I meant , "" whispered Susan to Lucy .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""Aslan"", ""canonical"": ""Aslan"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ADDRESSED""}]"
"24","But it was too late to do anything about it now even if Aslan would have listened to her .","[{""text"": ""Aslan"", ""canonical"": ""Aslan"", ""label"": ""MENTIONED_ONLY""}]"
"25","The change was already creeping up the Giant 's legs .","[{""text"": ""Giant"", ""canonical"": ""Giant Rumblebuffin"", ""label"": ""MENTIONED_ONLY""}]"
"26","Now he was moving his feet .","[{""text"": ""he"", ""canonical"": ""Giant Rumblebuffin"", ""label"": ""ACTIVE_PERFORMER""}]"
"27","A moment later he lifted the club off his shoulder , rubbed his eyes and said , "" Bless me !","[{""text"": ""he"", ""canonical"": ""Giant Rumblebuffin"", ""label"": ""ACTIVE_SPEAKER""}]"
"28","I must have been asleep .","[]"
"29","Now !","[]"
"30","Where 's that dratted little Witch that was running about on the ground .","[{""text"": ""Giant Rumblebuffin"", ""canonical"": ""Giant Rumblebuffin"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Witch"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}]"
"31","Somewhere just by my feet it was . "" But when everyone had shouted up to him to explain what had really happened , and when the Giant had put his hand to his ear and got them to repeat it all again so that at last he understood , then he bowed down till his head was no further off than the top of a haystack and touched his cap repeatedly to Aslan , beaming all over his honest ugly face , ( giants of any sort are now so rare in England and so few giants are good tempered that ten to one you have never seen a giant when his face is beaming .","[{""text"": ""Giant"", ""canonical"": ""Giant Rumblebuffin"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""Aslan"", ""canonical"": ""Aslan"", ""label"": ""MENTIONED_ONLY""}]"
"32","It 's a sight well worth looking at . ) "" Now for the inside of this house ! "" said Aslan . "" Look alive , everyone .","[{""text"": ""Aslan"", ""canonical"": ""Aslan"", ""label"": ""ACTIVE_SPEAKER""}]"
"33","Up stairs and down stairs and in my lady 's chamber !","[]"
"34","Leave no corner unsearched .","[]"
"35","You never know where some poor prisoner may be concealed . "" And into the interior they all rushed and for several minutes the whole of that dark , horrible , fusty old castle echoed with the opening of windows and with everyone 's voices crying out at once "" Do n't forget the dungeons -- Give us a hand with this door ! -- Here 's another little winding stair -- Oh !","[]"
"36","I say .","[]"
"37","Here 's a poor little kangaroo .","[]"
"38","Call Aslan -- Phew !","[{""text"": ""Aslan"", ""canonical"": ""Aslan"", ""label"": ""ADDRESSED""}]"
"39","How it smells in here -- Look out for trap - doors -- Up here !","[]"
