sentence_id,sentence,entities
1,"Now we must go back to Mr. and Mrs. Beaver and the three other children .","[{""text"": ""Mr."", ""canonical"": ""Mr. Beaver"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Mrs. Beaver"", ""canonical"": ""Mrs. Beaver"", ""label"": ""MENTIONED_ONLY""}]"
2,"As soon as Mr. Beaver said "" There 's no time to lose "" everyone began bundling themselves into coats , except Mrs. Beaver who started picking up sacks and laying them on the table and said : "" Now , Mr. Beaver , just reach down that ham .","[{""text"": ""Mr. Beaver"", ""canonical"": ""Mr. Beaver"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Mrs. Beaver"", ""canonical"": ""Mrs. Beaver"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Mr. Beaver"", ""canonical"": ""Mr. Beaver"", ""label"": ""ADDRESSED""}]"
3,"And here 's a packet of tea , and there 's sugar , and some matches .","[]"
4,"And if someone will get two or three loaves out of the crock over there in the corner . ""","[]"
5,""" What are you doing , Mrs. Beaver ? "" exclaimed Susan .","[{""text"": ""Mrs. Beaver"", ""canonical"": ""Mrs. Beaver"", ""label"": ""ADDRESSED""}, {""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
6,""" Packing a load for each of us , dearie , "" said Mrs. Beaver very coolly .","[{""text"": ""Mrs. Beaver"", ""canonical"": ""Mrs. Beaver"", ""label"": ""ACTIVE_SPEAKER""}]"
7,""" You did n't think we 'd set out on a journey with nothing to eat , did you ? ""","[]"
8,""" But we have n't time ! "" said Susan , buttoning the collar of her coat .","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
9,""" She may be here any minute . ""","[{""text"": ""She"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}]"
10,""" That 's what I say , "" chimed in Mr. Beaver .","[{""text"": ""Mr. Beaver"", ""canonical"": ""Mr. Beaver"", ""label"": ""ACTIVE_SPEAKER""}]"
11,""" Get along with you all , "" said his wife .","[{""text"": ""his wife"", ""canonical"": ""Mrs. Beaver"", ""label"": ""ACTIVE_SPEAKER""}]"
12,""" Think it over , Mr. Beaver .","[{""text"": ""Mr. Beaver"", ""canonical"": ""Mr. Beaver"", ""label"": ""ADDRESSED""}]"
13,"She ca n't be here for a quarter of an hour at least . ""","[{""text"": ""She"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}]"
14,""" But do n't we want as big a start as we can possibly get , "" said Peter , "" if we 're to reach the Stone Table before her ? ""","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""her"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}]"
15,""" You 've got to remember _that_ , Mrs. Beaver , "" said Susan .","[{""text"": ""Mrs. Beaver"", ""canonical"": ""Mrs. Beaver"", ""label"": ""ADDRESSED""}, {""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
16,""" As soon as she has looked in here and finds we 're gone she 'll be off at top speed . ""","[{""text"": ""she"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}]"
17,""" That she will , "" said Mrs. Beaver .","[{""text"": ""Mrs. Beaver"", ""canonical"": ""Mrs. Beaver"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""she"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}]"
18,""" But we ca n't get there before her whatever we do , for she 'll be on a sledge and we 'll be walking . ""","[{""text"": ""her"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}]"
19,""" Then -- have we no hope ? "" said Susan .","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
