sentence_id,sentence,entities
1,""" I wish the Macready would hurry up and take all these people away , "" said Susan presently , "" I 'm getting horribly cramped . ""","[{""text"": ""Macready"", ""canonical"": ""Mrs. Macready"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
2,""" And what a filthy smell of camphor ! "" said Edmund .","[{""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
3,""" I expect the pockets of these coats are full of it , "" said Susan , "" to keep away moths . ""","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
4,""" There 's something sticking into my back , "" said Peter .","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
5,""" And is n't it cold ? "" said Susan .","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
6,""" Now that you mention it , it is cold , "" said Peter , "" and hang it all , it 's wet too .","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
7,"What 's the matter with this place ?","[]"
8,"I 'm sitting on something wet .","[]"
9,"It 's getting wetter every minute . ""","[]"
10,"He struggled to his feet .","[{""text"": ""He"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]"
11,""" Let 's get out , "" said Edmund , "" they 've gone . ""","[{""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
12,""" O-o - oh ! "" said Susan suddenly .","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
13,"And everyone asked her what was the matter .","[{""text"": ""her"", ""canonical"": ""Susan Pevensie"", ""label"": ""ADDRESSED""}]"
14,""" I 'm sitting against a tree , "" said Susan , "" and look !","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
15,"It 's getting lighter -- over there . ""","[]"
16,""" By jove , you 're right , "" said Peter , "" and look there -- and there .","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
17,"It 's trees all round .","[]"
18,"And this wet stuff is snow .","[]"
19,"Why , I do believe we 've got into Lucy 's wood after all . ""","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""MENTIONED_ONLY""}]"
20,"And now there was no mistaking it and all four children stood blinking in the daylight of a winter day .","[]"
21,"Behind them were coats hanging on pegs , in front of them were snow - covered trees .","[]"
22,"Peter turned at once to Lucy .","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ADDRESSED""}]"
23,""" I apologise for not believing you , "" he said , "" I 'm sorry .","[{""text"": ""he"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
24,"Will you shake hands ? ""","[]"
25,""" Of course , "" said Lucy , and did .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
26,""" And now , "" said Susan , "" what do we do next ? ""","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
27,""" Do ? "" said Peter , "" why , go and explore the wood , of course . ""","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
28,""" Ugh ! "" said Susan , stamping her feet , "" it 's pretty cold .","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
29,"What about putting on some of these coats ? ""","[]"
