"sentence_id","sentence","entities"
"1","The battle was all over a few minutes after their arrival .","[]"
"2","Most of the enemy had been killed in the first charge of Aslan and his companions ; and when those who were still living saw that the Witch was dead they either gave themselves up or took to flight .","[{""text"": ""Aslan"", ""canonical"": ""Aslan"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""Witch"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}]"
"3","The next thing that Lucy knew was that Peter and Aslan were shaking hands .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}, {""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""Aslan"", ""canonical"": ""Aslan"", ""label"": ""ACTIVE_PERFORMER""}]"
"4","It was strange to her to see Peter looking as he looked now -- his face was so pale and stern and he seemed so much older .","[{""text"": ""her"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}, {""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""MENTIONED_ONLY""}]"
"5",""" It was all Edmund 's doing , Aslan , "" Peter was saying .","[{""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Aslan"", ""canonical"": ""Aslan"", ""label"": ""ADDRESSED""}, {""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
"6",""" We 'd have been beaten if it had n't been for him .","[{""text"": ""him"", ""canonical"": ""Edmund Pevensie"", ""label"": ""MENTIONED_ONLY""}]"
"7","The Witch was - turning our troops into stone right and left .","[{""text"": ""Witch"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}]"
"8","But nothing would stop him .","[{""text"": ""him"", ""canonical"": ""Edmund Pevensie"", ""label"": ""MENTIONED_ONLY""}]"
"9","He fought his way through three ogres to where she was just turning one of your leopards into a statue .","[{""text"": ""He"", ""canonical"": ""Edmund Pevensie"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""she"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}]"
"10","And when he reached her he had the sense to bring his sword smashing down on her wand instead of trying to go for her directly and simply getting made a statue himself for his pains .","[{""text"": ""he"", ""canonical"": ""Edmund Pevensie"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""her"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}]"
