sentence_id,sentence,entities
1,""" Good evening , "" said Lucy .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
2,"But the Faun was so busy picking up his parcels that at first he did not reply .","[{""text"": ""Faun"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_PERFORMER""}]"
3,"When he had finished he made her a little bow .","[{""text"": ""he"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""her"", ""canonical"": ""Lucy Pevensie"", ""label"": ""MENTIONED_ONLY""}]"
4,""" Good evening , good evening , "" said the Faun .","[{""text"": ""Faun"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]"
5,""" Excuse me -- I do n't want to be inquisitive -- but should I be right in thinking that you are a Daughter of Eve ? ""","[{""text"": ""I"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Daughter of Eve"", ""canonical"": ""Lucy Pevensie"", ""label"": ""MISCELLANEOUS""}]"
6,""" My name 's Lucy , "" said she , not quite understanding him .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""him"", ""canonical"": ""Mr. Tumnus"", ""label"": ""MENTIONED_ONLY""}]"
7,""" But you are -- forgive me -- you are what they call a girl ? "" asked the Faun .","[{""text"": ""Faun"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]"
8,""" Of course I 'm a girl , "" said Lucy .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
9,""" You are in fact Human ? ""","[]"
10,""" Of course I 'm human , "" said Lucy , still a little puzzled .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
11,""" To be sure , to be sure , "" said the Faun .","[{""text"": ""Faun"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]"
12,""" How stupid of me !","[{""text"": ""me"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]"
13,"But I 've never seen a Son of Adam or a Daughter of Eve before .","[{""text"": ""I"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Son of Adam"", ""canonical"": ""MISCELLANEOUS"", ""label"": ""MISCELLANEOUS""}, {""text"": ""Daughter of Eve"", ""canonical"": ""MISCELLANEOUS"", ""label"": ""MISCELLANEOUS""}]"
14,"I am delighted .","[{""text"": ""I"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]"
15,"That is to say -- "" and then he stopped as if he had been going to say something he had not intended but had remembered in time .","[{""text"": ""he"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_PERFORMER""}]"
16,""" Delighted , delighted , "" he went on .","[{""text"": ""he"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]"
17,""" Allow me to introduce myself .","[{""text"": ""me"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]"
18,"My name is Tumnus . ""","[{""text"": ""Tumnus"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]"
19,""" I am very pleased to meet you , Mr. Tumnus , "" said Lucy .","[{""text"": ""Mr. Tumnus"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ADDRESSED""}, {""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
20,""" And may I ask , O Lucy , Daughter of Eve , "" said Mr. Tumnus , "" how you have come into Narnia ? ""","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ADDRESSED""}, {""text"": ""Daughter of Eve"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ADDRESSED""}, {""text"": ""Mr. Tumnus"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]"
21,""" Narnia ?","[]"
22,"What 's that ? "" said Lucy .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
23,""" This is the land of Narnia , "" said the Faun , "" where we are now ; all that lies between the lamp - post and the great castle of Cair Paravel on the eastern sea .","[{""text"": ""Faun"", ""canonical"": ""Mr. Tumnus"", ""label"": ""ACTIVE_SPEAKER""}]"
24,"And you -- you have come from the wild woods of the west ? ""","[]"
