sentence_id,sentence,entities
1,"While the Dwarf and the White Witch were saying this , miles away the Beaver and the children were walking on hour after hour into what seemed a delicious dream .","[{""text"": ""Dwarf"", ""canonical"": ""Dwarf"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""White Witch"", ""canonical"": ""Jadis"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Beaver"", ""canonical"": ""Mr. Beaver"", ""label"": ""ACTIVE_PERFORMER""}]"
2,"Long ago they had left the coats behind them .","[]"
3,"And by now they had even stopped saying to one another , "" Look !","[]"
4,"There 's a kingfisher ! "" or "" I say , bluebells ! "" or "" What was that lovely smell ? "" or "" Just listen to that thrush ! ""","[]"
5,"They walked on in silence drinking it all in , passing through patches of warm sunlight into cool , green thickets and out again into wide mossy glades where tall elms raised the leafy roof far overhead , and then into dense masses of flowering currant and among hawthorn bushes where the sweet smell was almost overpowering .","[]"
6,"They had been just as surprised as Edmund when they saw the winter vanishing and the whole wood passing in a few hours or so from January to May .","[{""text"": ""Edmund"", ""canonical"": ""Edmund Pevensie"", ""label"": ""MENTIONED_ONLY""}]"
7,"They had n't even known for certain ( as the Witch did ) that this was what would happen when Aslan came to Narnia .","[{""text"": ""Witch"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Aslan"", ""canonical"": ""Aslan"", ""label"": ""MENTIONED_ONLY""}]"
8,"But they all knew that it was her spells which had produced the endless winter ; and therefore they all knew when this magic spring began that something had gone wrong , and badly wrong , with the Witch 's schemes .","[{""text"": ""Witch"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}]"
9,"And after the thaw had been going on for some time they all realised that the Witch would no longer be able to use her sledge .","[{""text"": ""Witch"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}]"
10,"After that they did n't hurry so much and they allowed themselves more rests and longer ones .","[]"
11,"They were pretty tired by now of course ; but not what I 'd call bitterly tired -- only slow and feeling very dreamy and quiet inside as one does when one is coming to the end of a long day in the open .","[]"
