"sentence_id","sentence","entities"
"1","While the two girls still crouched in the bushes with their hands over their faces , they heard the voice of the Witch calling out .","[{""text"": ""the two girls"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""the two girls"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""the Witch"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}]"
"2",""" Now !","[{""text"": ""Witch"", ""canonical"": ""Jadis"", ""label"": ""ACTIVE_SPEAKER""}]"
"3","Follow me all and we will set about what remains of this war !","[{""text"": ""Witch"", ""canonical"": ""Jadis"", ""label"": ""ACTIVE_SPEAKER""}]"
"4","It will not take us long to crush the human vermin and the traitors now that the great Fool , the great Cat , lies dead . ""","[{""text"": ""Witch"", ""canonical"": ""Jadis"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""the great Fool"", ""canonical"": ""Aslan"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""the great Cat"", ""canonical"": ""Aslan"", ""label"": ""MENTIONED_ONLY""}]"
"5","At this moment the children were for a few seconds in very great danger .","[{""text"": ""the children"", ""canonical"": ""Susan Pevensie"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""the children"", ""canonical"": ""Lucy Pevensie"", ""label"": ""MENTIONED_ONLY""}]"
"6","For with wild cries and a noise of skirling pipes and shrill horns blowing , the whole of that vile rabble came sweeping off the hill - top and down the slope right past their hiding - place .","[]"
"7","They felt the Spectres go by them like a cold wind and they felt the ground shake beneath them under the galloping feet of the Minotaurs ; and overhead there went a flurry of foul wings and a blackness of vultures and giant bats .","[{""text"": ""They"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_THOUGHT""}, {""text"": ""They"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}]"
"8","At any other time they would have trembled with fear ; but now the sadness and shame and horror of Aslan 's death so filled their minds that they hardly thought of it .","[{""text"": ""they"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_THOUGHT""}, {""text"": ""they"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_THOUGHT""}, {""text"": ""Aslan"", ""canonical"": ""Aslan"", ""label"": ""MENTIONED_ONLY""}]"
"9","As soon as the wood was silent again Susan and Lucy crept out into the open hill - top .","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]"
"10","The moon was getting low and thin clouds were passing across her , but still they could see the shape of the great Lion lying dead in his bonds .","[{""text"": ""they"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""they"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""the great Lion"", ""canonical"": ""Aslan"", ""label"": ""MENTIONED_ONLY""}]"
"11","And down they both knelt in the wet grass and kissed his cold face and stroked his beautiful fur -- what was left of it -- and cried till they could cry no more .","[{""text"": ""they"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""they"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""his"", ""canonical"": ""Aslan"", ""label"": ""MENTIONED_ONLY""}]"
"12","And then they looked at each other and held each other 's hands for mere loneliness and cried again ; and then again were silent .","[{""text"": ""they"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""they"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}]"
"13",""" I ca n't bear the look of that horrible muzzle .","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
