sentence_id,sentence,entities
1,""" And now , "" said Lucy , "" do please tell us what 's happened to Mr. Tumnus . ""","[{""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Mr. Tumnus"", ""canonical"": ""Mr. Tumnus"", ""label"": ""MENTIONED_ONLY""}]"
2,""" Ah , that 's bad , "" said Mr. Beaver shaking his head .","[{""text"": ""Mr. Beaver"", ""canonical"": ""Mr. Beaver"", ""label"": ""ACTIVE_SPEAKER""}]"
3,""" That 's a very , very bad business .","[]"
4,"There 's no doubt he was taken off by the police .","[{""text"": ""he"", ""canonical"": ""Mr. Tumnus"", ""label"": ""MENTIONED_ONLY""}]"
5,"I got that from a bird who saw it done . ""","[]"
6,""" But where 's he been taken to ? "" asked Lucy .","[{""text"": ""he"", ""canonical"": ""Mr. Tumnus"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
7,""" Well , they were heading northwards when they were last seen and we all know what that means . ""","[]"
8,""" No , we do n't , "" said Susan .","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
9,"But Mr. Beaver shook his head in a very gloomy fashion .","[{""text"": ""Mr. Beaver"", ""canonical"": ""Mr. Beaver"", ""label"": ""ACTIVE_PERFORMER""}]"
10,""" I 'm afraid it means they were taking him to her house , "" said Mr. Beaver .","[{""text"": ""him"", ""canonical"": ""Mr. Tumnus"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""her"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Mr. Beaver"", ""canonical"": ""Mr. Beaver"", ""label"": ""ACTIVE_SPEAKER""}]"
11,""" But what 'll they do to him , Mr. Beaver ? "" gasped Lucy .","[{""text"": ""him"", ""canonical"": ""Mr. Tumnus"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Mr. Beaver"", ""canonical"": ""Mr. Beaver"", ""label"": ""ADDRESSED""}, {""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
12,""" Well , "" said Mr. Beaver , "" you ca n't exactly say for sure .","[{""text"": ""Mr. Beaver"", ""canonical"": ""Mr. Beaver"", ""label"": ""ACTIVE_SPEAKER""}]"
13,"But there 's not many taken in there that ever comes out again .","[]"
14,"Statues .","[]"
15,"All full of statues they say it is -- in the courtyard and up the stairs and in the hall .","[]"
16,"People she 's turned -- "" ( he paused and shuddered ) "" turned into stone . ""","[{""text"": ""she"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""he"", ""canonical"": ""Mr. Beaver"", ""label"": ""ACTIVE_PERFORMER""}]"
17,""" But , Mr. Beaver , "" said Lucy , "" ca n't we -- I mean we _must_ do something to save him .","[{""text"": ""Mr. Beaver"", ""canonical"": ""Mr. Beaver"", ""label"": ""ADDRESSED""}, {""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""him"", ""canonical"": ""Mr. Tumnus"", ""label"": ""MENTIONED_ONLY""}]"
18,"It 's too dreadful and it 's all on my account . ""","[]"
