sentence_id,sentence,entities
1,"As soon as the Witch had gone Aslan said , "" We must move from this place at once , it will be wanted for other purposes .","[{""text"": ""Witch"", ""canonical"": ""Jadis"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""Aslan"", ""canonical"": ""Aslan"", ""label"": ""ACTIVE_SPEAKER""}]"
2,"We shall encamp to - night at the Fords of Beruna . ""","[]"
3,"Of course everyone was dying to ask him how he had arranged matters with the Witch ; but his face was stern and everyone 's ears were still ringing with the sound of his roar and so nobody dared .","[{""text"": ""him"", ""canonical"": ""Aslan"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Witch"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}]"
4,"After a meal , which was taken in the open air on the hill - top ( for the sun had got strong by now and dried the grass ) they were busy for a while taking the pavilion down and packing things up .","[]"
5,"Before two o'clock they were on the march and set off in a North - Westerly direction , walking at an easy pace for they had not far to go .","[]"
6,"During the first part of the journey Aslan explained to Peter his plan of campaign .","[{""text"": ""Aslan"", ""canonical"": ""Aslan"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ADDRESSED""}]"
7,""" As soon as she has finished her business in these parts , "" he said , "" the Witch and her crew will almost certainly fall back to her house and prepare for a siege .","[{""text"": ""she"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""he"", ""canonical"": ""Aslan"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Witch"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}]"
8,"You may or may not be able to cut her off and prevent her from reaching it . ""","[{""text"": ""You"", ""canonical"": ""Peter Pevensie"", ""label"": ""ADDRESSED""}, {""text"": ""her"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}]"
9,"He then went on to outline two plans of battle -- one for fighting the Witch and her people in the wood and another for assaulting her castle .","[{""text"": ""He"", ""canonical"": ""Aslan"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Witch"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}]"
10,"And all the time he was advising Peter how to conduct the operations , saying things like , "" You must put your centaurs in such and such a place "" or "" You must post scouts to see that she does n't do so - and - so , "" till at last Peter said ,","[{""text"": ""he"", ""canonical"": ""Aslan"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ADDRESSED""}, {""text"": ""she"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}, {""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
11,""" But you will be there yourself , Aslan . ""","[{""text"": ""you"", ""canonical"": ""Aslan"", ""label"": ""ADDRESSED""}, {""text"": ""Aslan"", ""canonical"": ""Aslan"", ""label"": ""ADDRESSED""}]"
12,""" I can give you no promise of that , "" answered the Lion .","[{""text"": ""I"", ""canonical"": ""Aslan"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""you"", ""canonical"": ""Peter Pevensie"", ""label"": ""ADDRESSED""}, {""text"": ""Lion"", ""canonical"": ""Aslan"", ""label"": ""ACTIVE_SPEAKER""}]"
13,"And he continued giving Peter his instructions .","[{""text"": ""he"", ""canonical"": ""Aslan"", ""label"": ""ACTIVE_SPEAKER""}, {""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ADDRESSED""}]"
14,"For the last part of the journey it was Susan and Lucy who saw most of him .","[{""text"": ""Susan"", ""canonical"": ""Susan Pevensie"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""Lucy"", ""canonical"": ""Lucy Pevensie"", ""label"": ""ACTIVE_PERFORMER""}, {""text"": ""him"", ""canonical"": ""Aslan"", ""label"": ""MENTIONED_ONLY""}]"
15,"He did not talk very much and seemed to them to be sad .","[{""text"": ""He"", ""canonical"": ""Aslan"", ""label"": ""ACTIVE_THOUGHT""}]"
16,"It was still afternoon when they came down to a place where the river valley had widened out and the river was broad and shallow .","[]"
17,"This was the Fords of Beruna and Aslan gave orders to halt on this side of the water .","[{""text"": ""Aslan"", ""canonical"": ""Aslan"", ""label"": ""ACTIVE_SPEAKER""}]"
18,"But Peter said ,","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
19,""" Would n't it be better to camp on the far side -- for fear she should try a night attack or anything ? ""","[{""text"": ""she"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}]"
20,"Aslan who seemed to have been thinking about something else roused himself with a shake of his magnificent mane and said , "" Eh ?","[{""text"": ""Aslan"", ""canonical"": ""Aslan"", ""label"": ""ACTIVE_SPEAKER""}]"
21,"What 's that ? ""","[]"
22,"Peter said it all over again .","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_SPEAKER""}]"
23,""" No , "" said Aslan in a dull voice , as if it did n't matter .","[{""text"": ""Aslan"", ""canonical"": ""Aslan"", ""label"": ""ACTIVE_SPEAKER""}]"
24,""" No .","[]"
25,"She will not make an attack to - night . ""","[{""text"": ""She"", ""canonical"": ""Jadis"", ""label"": ""MENTIONED_ONLY""}]"
26,"And then he sighed deeply .","[{""text"": ""he"", ""canonical"": ""Aslan"", ""label"": ""ACTIVE_PERFORMER""}]"
27,"But presently he added , "" All the same it was well thought of .","[{""text"": ""he"", ""canonical"": ""Aslan"", ""label"": ""ACTIVE_SPEAKER""}]"
28,"That is how a soldier ought to think .","[]"
29,"But it does n't really matter . ""","[]"
30,"So they proceeded to pitch their camp .","[]"
31,"Aslan 's mood affected everyone that evening .","[{""text"": ""Aslan"", ""canonical"": ""Aslan"", ""label"": ""ACTIVE_THOUGHT""}]"
32,"Peter was feeling uncomfortable too at the idea of fighting the battle on his own ; the news that Aslan might not be there had come as a great shock to him .","[{""text"": ""Peter"", ""canonical"": ""Peter Pevensie"", ""label"": ""ACTIVE_THOUGHT""}, {""text"": ""Aslan"", ""canonical"": ""Aslan"", ""label"": ""MENTIONED_ONLY""}]"
33,"Supper that evening was a quiet meal .","[]"
34,"Everyone felt how different it had been last night or even that morning .","[]"
